nazwa,dzielnica,pokoj,metry,cena_metr,cena
Atrakcyjne Mieszkania/Lokale-Kraków Radzikowskiego," Kraków, Azory",>10 pokoi,"20,20 m²",6 980 zł/m²,141000zł
Atrakcyjne 100 metrowe poddasze," Kraków, Krowodrza",3 pokoje,107 m²,4 056 zł/m²,434000zł
Kawalerka po remoncie ul. Niewodniczańskiego," Kraków, Swoszowice",1 pokój,"15,75 m²",9 016 zł/m²,142000zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
Atrakcyjne Mieszkania/Lokale-Kraków Radzikowskiego," Kraków, Azory",>10 pokoi,"20,20 m²",6 980 zł/m²,141000zł
Kawalerka po remoncie ul. Niewodniczańskiego," Kraków, Swoszowice",1 pokój,"15,75 m²",9 016 zł/m²,142000zł
Wyremontowana kawalerka w dzielnicy Swoszowice.," Kraków, Swoszowice",1 pokój,15 m²,6 600 zł/m²,99000zł
Atrakcyjne Mieszkania/Lokale-Kraków Radzikowskiego," Kraków, Azory",>10 pokoi,"20,20 m²",6 980 zł/m²,141000zł
Kawalerka po remoncie ul. Niewodniczańskiego," Kraków, Swoszowice",1 pokój,"15,75 m²",9 016 zł/m²,142000zł
Wyremontowana kawalerka w dzielnicy Swoszowice.," Kraków, Swoszowice",1 pokój,15 m²,6 600 zł/m²,99000zł
"mieszknia na sprzedaż, Azory, Kraków"," Kraków, Azory",1 pokój,"20,20 m²",6 980 zł/m²,141000zł
"TBS Kraków, ul. Rydygiera, 33m - 80 000"," Kraków, małopolskie",1 pokój,33 m²,2 424 zł/m²,80000zł
lokal/mieszkanie w suterenie w centrum Krakowa!," Kraków, małopolskie",1 pokój,18 m²,6 239 zł/m²,112300zł
Mikroapartament na Krowodrzy," Kraków, Krowodrza",1 pokój,"16,50 m²",8 610 zł/m²,142065zł
OKAZJA! 0%PROWIZJI !Partycypacja TBS/Kurdwanów," Kraków, małopolskie",2 pokoje,"49,20 m²",2 419 zł/m²,119000zł
Tbs - 2 Pokoje - Balkon - Urządzone - Okazja," Kraków, Górka Narodowa",2 pokoje,"47,80 m²",2 824 zł/m²,135000zł
Kawalerka | Swoszowice | Niewodniczańskiego |," Kraków, Swoszowice",1 pokój,"15,75 m²",9 016 zł/m²,142000zł
Studio | Swoszowice | Niewodniczańskiego |," Kraków, Swoszowice",1 pokój,"8,30 m²",11 928 zł/m²,99000zł
"Kawalerka, 15m2, Wyposażona, Umeblowana"," Kraków, Swoszowice",1 pokój,15 m²,6 600 zł/m²,99000zł
Ładny I Tani Tbs Z Balkonem Przy Wicherkiewicza," Kraków, Kliny-Zacisze",1 pokój,33 m²,2 394 zł/m²,79000zł
Kawalerka - 19 M2 - 150 000 Zł - Ulica Jasińskiego," Kraków, Bieżanów-Prokocim",1 pokój,19 m²,7 895 zł/m²,150000zł
"Mieszkanie, 44 m², Kraków"," Kraków, Kurdwanów",1 pokój,44 m²,2 841 zł/m²,125000zł
Mieszkanie 50m2 Tbs Kraków -Kliny," Kraków, Kliny-Zacisze",2 pokoje,49 m²,2 020 zł/m²,99000zł
Mieszkanie Tbs Kraków ul. Bartla-75000zł," Kraków, Kliny-Zacisze",1 pokój,38 m²,1 974 zł/m²,75000zł
"Mieszkanie, 45 m², Kraków"," Kraków, Kurdwanów",2 pokoje,45 m²,2 733 zł/m²,123000zł
Kawalerka po remoncie na w Krakowie," Kraków, Swoszowice",1 pokój,16 m²,8 875 zł/m²,142000zł
Wyremontowane mieszkanie o pow. 16m2 w Krakowie," Kraków, Swoszowice",1 pokój,16 m²,8 875 zł/m²,142000zł
Nowoczesna kawalerka na ul. H. Niewodniczańskiego," Kraków, Swoszowice",1 pokój,15 m²,6 600 zł/m²,99000zł
Wyremontowana Kawalerka na ul.Niewodniczańskiego," Kraków, Swoszowice",1 pokój,15 m²,6 600 zł/m²,99000zł
Kawalerka/142 tys/ 0%," Kraków, Swoszowice",1 pokój,20 m²,7 100 zł/m²,142000zł
"Kawalerka, 16m2, Wyposażona, Umeblowana,Swoszowice"," Kraków, Swoszowice",1 pokój,"15,75 m²",9 016 zł/m²,142000zł
Wyremontowana kawalerka w dzielnicy Swoszowice.," Kraków, Swoszowice",1 pokój,15 m²,6 600 zł/m²,99000zł
lokal/mieszkanie w suterenie w centrum Krakowa!," Kraków, małopolskie",1 pokój,18 m²,6 239 zł/m²,112300zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
Atrakcyjne 100 metrowe poddasze," Kraków, Krowodrza",3 pokoje,107 m²,4 056 zł/m²,434000zł
Atrakcyjne Mieszkania/Lokale-Kraków Radzikowskiego," Kraków, Azory",>10 pokoi,"20,20 m²",6 980 zł/m²,141000zł
Kawalerka po remoncie ul. Niewodniczańskiego," Kraków, Swoszowice",1 pokój,"15,75 m²",9 016 zł/m²,142000zł
Wyremontowana kawalerka w dzielnicy Swoszowice.," Kraków, Swoszowice",1 pokój,15 m²,6 600 zł/m²,99000zł
Kawalerka|Gotowa do zamieszkania|Zielona okolica!," Kraków, Swoszowice",1 pokój,"15,75 m²",9 016 zł/m²,142000zł
Tanie własnościowe mieszkanie! Bez prowizji.," Kraków, Swoszowice",2 pokoje,15 m²,6 600 zł/m²,99000zł
Ładny Tbs Na Bujaka Z Balkonem I Piwnicą," Kraków, Wola Duchacka",2 pokoje,45 m²,2 778 zł/m²,125000zł
